Date,Rate
13/09/2011,0.73644
14/09/2011,0.72835
15/09/2011,0.72631
16/09/2011,0.72046
17/09/2011,0.72522
18/09/2011,0.72524
19/09/2011,0.7247
20/09/2011,0.73294
21/09/2011,0.73123
22/09/2011,0.72564
23/09/2011,0.74332
24/09/2011,0.74124
25/09/2011,0.73992
26/09/2011,0.73992
27/09/2011,0.74339
28/09/2011,0.73335
29/09/2011,0.73733
30/09/2011,0.73681
1/10/11,0.74325
2/10/11,0.74672
3/10/11,0.74705
4/10/11,0.75375
5/10/11,0.75243
6/10/11,0.75104
7/10/11,0.74641
8/10/11,0.7468
9/10/11,0.74697
10/10/11,0.74014
11/10/11,0.73177
12/10/11,0.73323
13/10/2011,0.72422
14/10/2011,0.72791
15/10/2011,0.72193
16/10/2011,0.7215
17/10/2011,0.72059
18/10/2011,0.72587
19/10/2011,0.72791
20/10/2011,0.72495
21/10/2011,0.72595
22/10/2011,0.72124
23/10/2011,0.72078
24/10/2011,0.71958
25/10/2011,0.7185
26/10/2011,0.71812
27/10/2011,0.72297
28/10/2011,0.70438
29/10/2011,0.70633
30/10/2011,0.70684
31/10/2011,0.70607
1/11/11,0.71782
2/11/11,0.73066
3/11/11,0.7275
4/11/11,0.72586
5/11/11,0.72747
6/11/11,0.72738
7/11/11,0.72516
8/11/11,0.72738
9/11/11,0.72534
10/11/11,0.73521
11/11/11,0.73503
12/11/11,0.72549
13/11/2011,0.72574
14/11/2011,0.72738
15/11/2011,0.73443
16/11/2011,0.73975
17/11/2011,0.74036
18/11/2011,0.73951
19/11/2011,0.74008
20/11/2011,0.73965
22/11/2011,0.73943
23/11/2011,0.74119
24/11/2011,0.74893
25/11/2011,0.74986
26/11/2011,0.75464
27/11/2011,0.75512
28/11/2011,0.75512
29/11/2011,0.75
30/11/2011,0.74959
1/12/11,0.74351
2/12/11,0.74167
3/12/11,0.74736
4/12/11,0.74601
5/12/11,0.74711
6/12/11,0.74281
7/12/11,0.74725
8/12/11,0.74691
9/12/11,0.75051
10/12/11,0.74793
11/12/11,0.74811
12/12/11,0.74708
13/12/2011,0.75726
14/12/2011,0.7638
15/12/2011,0.77058
16/12/2011,0.76854
17/12/2011,0.76714
18/12/2011,0.7664
19/12/2011,0.7664
20/12/2011,0.76799
21/12/2011,0.765
22/12/2011,0.76705
23/12/2011,0.7667
24/12/2011,0.76682
25/12/2011,0.76681
26/12/2011,0.76673
27/12/2011,0.76488
28/12/2011,0.76497
29/12/2011,0.77329
30/12/2011,0.77407
31/12/2011,0.77003
1/1/12,0.77167
2/1/12,0.77167
3/1/12,0.77378
4/1/12,0.76582
5/1/12,0.77316
6/1/12,0.78163
7/1/12,0.78593
8/1/12,0.78598
9/1/12,0.7862
10/1/12,0.78456
11/1/12,0.78218
12/1/12,0.78841
13/01/2012,0.7801
14/01/2012,0.78875
15/01/2012,0.78858
16/01/2012,0.78871
17/01/2012,0.78967
18/01/2012,0.78493
19/01/2012,0.78018
20/01/2012,0.77366
21/01/2012,0.773
22/01/2012,0.77238
23/01/2012,0.77238
24/01/2012,0.76712
25/01/2012,0.76913
26/01/2012,0.77116
27/01/2012,0.76008
28/01/2012,0.75902
29/01/2012,0.7581
30/01/2012,0.75643
31/01/2012,0.76342
1/2/12,0.7651
2/2/12,0.7574
3/2/12,0.75955
4/2/12,0.76238
5/2/12,0.76289
6/2/12,0.76046
7/2/12,0.7628
8/2/12,0.7551
9/2/12,0.755
10/2/12,0.75255
11/2/12,0.758
12/2/12,0.75772
13/02/2012,0.75781
14/02/2012,0.756659
15/02/2012,0.7602
16/02/2012,0.7643
17/02/2012,0.7665
18/02/2012,0.7603
19/02/2012,0.76052
20/02/2012,0.7607
21/02/2012,0.75426
22/02/2012,0.7542
23/02/2012,0.755119
24/02/2012,0.7513
25/02/2012,0.74274
26/02/2012,0.74344
27/02/2012,0.74363
28/02/2012,0.745496
29/02/2012,0.74316
1/3/12,0.74814
2/3/12,0.750151
3/3/12,0.758029
4/3/12,0.75746
5/3/12,0.75741
6/3/12,0.75555
7/3/12,0.762399
8/3/12,0.760399
9/3/12,0.75402
10/3/12,0.762742
11/3/12,0.762
12/3/12,0.762
13/03/2012,0.76055
14/03/2012,0.76255
15/03/2012,0.7673
16/03/2012,0.764202
17/03/2012,0.759187
18/03/2012,0.75902
19/03/2012,0.75905
20/03/2012,0.75508
21/03/2012,0.7562
22/03/2012,0.757175
23/03/2012,0.7582
24/03/2012,0.75381
25/03/2012,0.7537
26/03/2012,0.75353
27/03/2012,0.7503
28/03/2012,0.7498
29/03/2012,0.75155
30/03/2012,0.75366
31/03/2012,0.74962
1/4/12,0.7494
2/4/12,0.7494
3/4/12,0.750441
4/4/12,0.7498
5/4/12,0.7611
6/4/12,0.76565
7/4/12,0.7636
8/4/12,0.76523
9/4/12,0.76523
10/4/12,0.76184
11/4/12,0.76368
12/4/12,0.763
13/04/2012,0.75755
14/04/2012,0.76455
15/04/2012,0.76435
16/04/2012,0.76435
17/04/2012,0.761418
18/04/2012,0.7615
19/04/2012,0.76268
20/04/2012,0.7618
21/04/2012,0.7567
25/04/2012,0.75755
26/04/2012,0.75762
27/04/2012,0.75555
28/04/2012,0.75375
29/04/2012,0.75612
30/04/2012,0.75449
1/5/12,0.7558
2/5/12,0.7565
3/5/12,0.759815
4/5/12,0.76082
5/5/12,0.76429
6/5/12,0.76444
7/5/12,0.76432
8/5/12,0.765685
9/5/12,0.767074
10/5/12,0.7711
11/5/12,0.7718
12/5/12,0.7737
13/05/2012,0.77405
14/05/2012,0.7742
15/05/2012,0.77858
16/05/2012,0.784803
17/05/2012,0.785942
18/05/2012,0.7861
19/05/2012,0.78642
20/05/2012,0.78229
21/05/2012,0.78229
22/05/2012,0.782473
23/05/2012,0.7862
24/05/2012,0.795719
25/05/2012,0.7977
26/05/2012,0.7986
27/05/2012,0.79888
28/05/2012,0.79888
29/05/2012,0.79781
30/05/2012,0.801214
31/05/2012,0.80678
1/6/12,0.80889
2/6/12,0.806257
3/6/12,0.80493
4/6/12,0.80419
5/6/12,0.800897
6/6/12,0.8036
7/6/12,0.79675
8/6/12,0.793336
9/6/12,0.80007
10/6/12,0.79879
11/6/12,0.79885
12/6/12,0.80016
13/06/2012,0.79985
14/06/2012,0.79375
15/06/2012,0.793862
16/06/2012,0.7913
17/06/2012,0.79127
18/06/2012,0.79124
19/06/2012,0.7954
20/06/2012,0.7863
21/06/2012,0.7868
22/06/2012,0.7956
23/06/2012,0.796
24/06/2012,0.79548
25/06/2012,0.79548
26/06/2012,0.8002
27/06/2012,0.80074
28/06/2012,0.80198
29/06/2012,0.8051
30/06/2012,0.79
1/7/12,0.7896
2/7/12,0.78986
3/7/12,0.79495
4/7/12,0.7934
5/7/12,0.7977
6/7/12,0.8073
7/7/12,0.81407
8/7/12,0.8137
9/7/12,0.81377
10/7/12,0.812
11/7/12,0.81615
12/7/12,0.815927
13/07/2012,0.8197
14/07/2012,0.817027
15/07/2012,0.8164
16/07/2012,0.81623
17/07/2012,0.815013
18/07/2012,0.815036
19/07/2012,0.815368
20/07/2012,0.8152
21/07/2012,0.822511
22/07/2012,0.82257
23/07/2012,0.82261
24/07/2012,0.8245
25/07/2012,0.8296
26/07/2012,0.8227
27/07/2012,0.81405
28/07/2012,0.810721
29/07/2012,0.81162
30/07/2012,0.81176
31/07/2012,0.816
1/8/12,0.812358
2/8/12,0.812599
3/8/12,0.821963
4/8/12,0.808398
5/8/12,0.8073
6/8/12,0.8072
7/8/12,0.8066
8/8/12,0.8051
9/8/12,0.8092
10/8/12,0.814
11/8/12,0.8132
12/8/12,0.81361
13/08/2012,0.81361
14/08/2012,0.8111
15/08/2012,0.8111
16/08/2012,0.8141
17/08/2012,0.8086
18/08/2012,0.81187
19/08/2012,0.81077
