Date,Rate
13/09/2011,0.88686
14/09/2011,0.877
15/09/2011,0.87458
16/09/2011,0.86877
17/09/2011,0.87494
18/09/2011,0.87683
19/09/2011,0.87652
20/09/2011,0.8835
21/09/2011,0.89019
22/09/2011,0.8899
23/09/2011,0.90759
24/09/2011,0.9039
25/09/2011,0.90546
26/09/2011,0.90546
27/09/2011,0.90634
28/09/2011,0.89453
29/09/2011,0.89894
30/09/2011,0.89846
1/10/11,0.9042
2/10/11,0.9082
3/10/11,0.9082
4/10/11,0.9149
5/10/11,0.92205
6/10/11,0.92375
7/10/11,0.92425
8/10/11,0.92474
9/10/11,0.92772
10/10/11,0.92317
11/10/11,0.9028
12/10/11,0.9076
13/10/2011,0.8924
14/10/2011,0.89916
15/10/2011,0.89376
16/10/2011,0.8926
17/10/2011,0.89191
18/10/2011,0.89736
19/10/2011,0.89926
20/10/2011,0.90126
21/10/2011,0.8942
22/10/2011,0.88402
23/10/2011,0.88279
24/10/2011,0.88229
25/10/2011,0.88056
26/10/2011,0.8795
27/10/2011,0.8856
28/10/2011,0.85894
29/10/2011,0.86284
30/10/2011,0.8633
31/10/2011,0.8633
1/11/11,0.8739
2/11/11,0.89006
3/11/11,0.88459
4/11/11,0.88129
5/11/11,0.88861
6/11/11,0.87334
7/11/11,0.88456
8/11/11,0.902
9/11/11,0.8969
10/11/11,0.9062
11/11/11,0.90564
12/11/11,0.89596
13/11/2011,0.89608
14/11/2011,0.89608
15/11/2011,0.90766
16/11/2011,0.9185
17/11/2011,0.9172
18/11/2011,0.91684
19/11/2011,0.9163
20/11/2011,0.9176
21/11/2011,0.91745
22/11/2011,0.91567
23/11/2011,0.91476
24/11/2011,0.9201
25/11/2011,0.9196
26/11/2011,0.92911
27/11/2011,0.93083
28/11/2011,0.9312
29/11/2011,0.92207
30/11/2011,0.9196
1/12/11,0.91134
2/12/11,0.9146
3/12/11,0.9222
4/12/11,0.92036
5/12/11,0.92081
6/12/11,0.91817
7/12/11,0.9276
8/12/11,0.92515
9/12/11,0.92726
10/12/11,0.92419
11/12/11,0.9251
12/12/11,0.92368
13/12/2011,0.93588
14/12/2011,0.94211
15/12/2011,0.95292
16/12/2011,0.94026
17/12/2011,0.9368
18/12/2011,0.9363
19/12/2011,0.9363
20/12/2011,0.9367
21/12/2011,0.93046
22/12/2011,0.9387
23/12/2011,0.93687
24/12/2011,0.938
25/12/2011,0.93592
26/12/2011,0.93718
27/12/2011,0.9354
28/12/2011,0.9342
29/12/2011,0.9433
30/12/2011,0.94324
31/12/2011,0.9363
1/1/12,0.9382
2/1/12,0.9382
3/1/12,0.9403
4/1/12,0.9324
5/1/12,0.942
6/1/12,0.95231
7/1/12,0.9557
8/1/12,0.95489
9/1/12,0.95489
10/1/12,0.95206
11/1/12,0.9498
12/1/12,0.95546
13/01/2012,0.94437
14/01/2012,0.95301
17/01/2012,0.95446
18/01/2012,0.94917
19/01/2012,0.9434
20/01/2012,0.93381
21/01/2012,0.93334
22/01/2012,0.93588
23/01/2012,0.93393
24/01/2012,0.9267
25/01/2012,0.92914
26/01/2012,0.93144
27/01/2012,0.91724
28/01/2012,0.9156
29/01/2012,0.91274
30/01/2012,0.91182
31/01/2012,0.9189
1/2/12,0.92234
2/2/12,0.91214
3/2/12,0.91513
4/2/12,0.9205
5/2/12,0.92135
6/2/12,0.91899
7/2/12,0.9203
8/2/12,0.91306
9/2/12,0.9126
10/2/12,0.91052
11/2/12,0.9174
12/2/12,0.91735
13/02/2012,0.9166
14/02/2012,0.9148
15/02/2012,0.91844
16/02/2012,0.92229
17/02/2012,0.92313
18/02/2012,0.918
19/02/2012,0.919
20/02/2012,0.91906
21/02/2012,0.91037
22/02/2012,0.91114
23/02/2012,0.91129
24/02/2012,0.90582
25/02/2012,0.89503
26/02/2012,0.89606
27/02/2012,0.89594
28/02/2012,0.8985
29/02/2012,0.89587
1/3/12,0.90183
2/3/12,0.9052
3/3/12,0.91405
4/3/12,0.91448
5/3/12,0.91442
6/3/12,0.91126
7/3/12,0.919
8/3/12,0.91664
9/3/12,0.90917
10/3/12,0.91976
11/3/12,0.91976
12/3/12,0.91976
13/03/2012,0.9168
14/03/2012,0.91964
15/03/2012,0.92864
16/03/2012,0.9224
17/03/2012,0.9156
18/03/2012,0.91535
19/03/2012,0.91535
20/03/2012,0.9111
21/03/2012,0.9111
22/03/2012,0.9133
23/03/2012,0.9141
24/03/2012,0.90869
25/03/2012,0.90737
26/03/2012,0.90746
27/03/2012,0.9041
28/03/2012,0.9039
29/03/2012,0.90597
30/03/2012,0.9084
31/03/2012,0.9024
1/4/12,0.90172
2/4/12,0.90186
3/4/12,0.90358
4/4/12,0.9025
5/4/12,0.91627
6/4/12,0.9204
7/4/12,0.917
8/4/12,0.9166
9/4/12,0.9175
10/4/12,0.9159
11/4/12,0.9177
12/4/12,0.91635
13/04/2012,0.91017
14/04/2012,0.91961
15/04/2012,0.91957
16/04/2012,0.91957
17/04/2012,0.91516
18/04/2012,0.915
19/04/2012,0.91677
20/04/2012,0.91614
21/04/2012,0.9092
25/04/2012,0.91055
26/04/2012,0.9104
27/04/2012,0.908
28/04/2012,0.90607
29/04/2012,0.90747
30/04/2012,0.90591
1/5/12,0.90805
2/5/12,0.909
3/5/12,0.9132
4/5/12,0.9141
5/5/12,0.9182
6/5/12,0.9182
7/5/12,0.91827
8/5/12,0.91989
9/5/12,0.92207
10/5/12,0.9264
11/5/12,0.9271
12/5/12,0.92954
13/05/2012,0.92985
14/05/2012,0.92979
15/05/2012,0.9352
16/05/2012,0.94255
17/05/2012,0.94398
18/05/2012,0.94414
19/05/2012,0.9444
20/05/2012,0.94031
21/05/2012,0.94031
22/05/2012,0.93986
23/05/2012,0.9444
24/05/2012,0.95564
25/05/2012,0.95895
26/05/2012,0.9592
27/05/2012,0.95982
28/05/2012,0.95936
29/05/2012,0.95897
30/05/2012,0.9624
31/05/2012,0.96966
1/6/12,0.9714
2/6/12,0.9683
3/6/12,0.96739
4/6/12,0.96638
5/6/12,0.96215
6/6/12,0.96496
7/6/12,0.95647
8/6/12,0.9544
9/6/12,0.96062
11/6/12,0.95997
12/6/12,0.96069
13/06/2012,0.9611
14/06/2012,0.9533
15/06/2012,0.9535
16/06/2012,0.95054
17/06/2012,0.94856
18/06/2012,0.94856
19/06/2012,0.95536
20/06/2012,0.94403
21/06/2012,0.9457
22/06/2012,0.95557
23/06/2012,0.9561
