Date,Rate
13/09/2011,7.8029
14/09/2011,7.8031
15/09/2011,7.8048
16/09/2011,7.7914
17/09/2011,7.7931
18/09/2011,7.7918
19/09/2011,7.7918
20/09/2011,7.7949
21/09/2011,7.7914
22/09/2011,7.7897
23/09/2011,7.7998
24/09/2011,7.8018
25/09/2011,7.8019
26/09/2011,7.8019
27/09/2011,7.7992
28/09/2011,7.7969
29/09/2011,7.7941
30/09/2011,7.7907
1/10/11,7.7874
2/10/11,7.7848
3/10/11,7.7848
4/10/11,7.7878
5/10/11,7.7843
6/10/11,7.7846
7/10/11,7.7822
8/10/11,7.7821
9/10/11,7.782
10/10/11,7.7821
11/10/11,7.7811
12/10/11,7.7808
13/10/2011,7.779
14/10/2011,7.7778
15/10/2011,7.7778
16/10/2011,7.7775
17/10/2011,7.7775
18/10/2011,7.7784
19/10/2011,7.7781
20/10/2011,7.7767
21/10/2011,7.7794
22/10/2011,7.7817
23/10/2011,7.7813
24/10/2011,7.7813
25/10/2011,7.7781
26/10/2011,7.7742
27/10/2011,7.7736
28/10/2011,7.7704
29/10/2011,7.7642
30/10/2011,7.7637
31/10/2011,7.7635
1/11/11,7.7668
2/11/11,7.7719
3/11/11,7.7706
4/11/11,7.7688
5/11/11,7.7678
6/11/11,7.7673
7/11/11,7.76779
8/11/11,7.7694
9/11/11,7.7689
10/11/11,7.7716
11/11/11,7.7817
12/11/11,7.779
13/11/2011,7.7778
14/11/2011,7.7791
15/11/2011,7.7818
16/11/2011,7.782
17/11/2011,7.7832
18/11/2011,7.7855
19/11/2011,7.7882
20/11/2011,7.7883
21/11/2011,7.78879
22/11/2011,7.7894
23/11/2011,7.7917
24/11/2011,7.795
25/11/2011,7.7956
26/11/2011,7.7963
27/11/2011,7.7962
28/11/2011,7.7962
29/11/2011,7.7944
30/11/2011,7.7928
1/12/11,7.773
2/12/11,7.7704
3/12/11,7.7679
4/12/11,7.76778
5/12/11,7.7677
6/12/11,7.7701
7/12/11,7.7741
8/12/11,7.7727
9/12/11,7.7761
10/12/11,7.7823
11/12/11,7.7822
12/12/11,7.7822
13/12/2011,7.7829
14/12/2011,7.7772
15/12/2011,7.7844
16/12/2011,7.7814
17/12/2011,7.7843
18/12/2011,7.7852
19/12/2011,7.7844
20/12/2011,7.7852
21/12/2011,7.7821
22/12/2011,7.7818
23/12/2011,7.7821
24/12/2011,7.7761
25/12/2011,7.7763
26/12/2011,7.7763
27/12/2011,7.7783
28/12/2011,7.7768
29/12/2011,7.7732
30/12/2011,7.7728
31/12/2011,7.7669
1/1/12,7.7667
2/1/12,7.7667
3/1/12,7.767
4/1/12,7.7676
5/1/12,7.7679
6/1/12,7.7656
7/1/12,7.7655
8/1/12,7.7654
9/1/12,7.7654
10/1/12,7.7665
11/1/12,7.7656
12/1/12,7.7666
13/01/2012,7.7673
14/01/2012,7.7678
15/01/2012,7.7677
16/01/2012,7.7677
17/01/2012,7.7676
18/01/2012,7.7653
19/01/2012,7.7614
20/01/2012,7.7598
21/01/2012,7.7609
22/01/2012,7.761
23/01/2012,7.761
24/01/2012,7.7602
25/01/2012,7.7603
26/01/2012,7.7604
27/01/2012,7.7566
28/01/2012,7.7545
29/01/2012,7.7543
30/01/2012,7.7543
