Date,Rate,,,,,,,,
25/08/2014,103.945,,,,,,,,
26/08/2014,103.97,,,,,,,,
27/08/2014,104.1355,,,,,,,,
28/08/2014,103.941,,,,,,,,
29/08/2014,103.757,,,,,,,,
30/08/2014,104.056,,,,,,,,
31/08/2014,104.085,,,,,,,,
1/9/14,104.085,,,,,,,,
2/9/14,104.29,,,,,,,,
3/9/14,105.119,,,,,,,,
4/9/14,104.84,,,,,,,,
5/9/14,105.2165,,,,,,,,
6/9/14,105.0195,,,,,,,,
8/9/14,105.089,,,,,,,,
9/9/14,105.884,,,,,,,,
10/9/14,106.4295,,,,,,,,
11/9/14,106.761,,,,,,,,
12/9/14,106.9515,,,,,,,,
13/09/2014,107.2435,,,,,,,,
14/09/2014,107.2435,,,,,,,,
15/09/2014,107.18,,,,,,,,
16/09/2014,106.955,,,,,,,,
17/09/2014,106.955,,,,,,,,
18/09/2014,107.605,,,,,,,,
19/09/2014,108.74,,,,,,,,
20/09/2014,108.965,,,,,,,,
21/09/2014,109.045,,,,,,,,
22/09/2014,109.045,,,,,,,,
23/09/2014,108.908,,,,,,,,
24/09/2014,108.904,,,,,,,,
26/09/2014,108.6665,,,,,,,,
27/09/2014,109.3655,,,,,,,,
28/09/2014,109.2875,,,,,,,,
29/09/2014,109.295,,,,,,,,
30/09/2014,109.4805,,,,,,,,
1/10/14,109.662,,,,,,,,
2/10/14,109.285,,,,,,,,
3/10/14,109.707,,,,,,,,
4/10/14,109.707,,,,,,,,
5/10/14,109.707,,,,,,,,
6/10/14,109.156,,,,,,,,
7/10/14,108.306,,,,,,,,
8/10/14,108.306,,,,,,,,
9/10/14,108.429,,,,,,,,
10/10/14,107.9605,,,,,,,,
11/10/14,107.8785,,,,,,,,
12/10/14,107.645,,,,,,,,
13/10/2014,107.645,,,,,,,,
14/10/2014,107.471,,,,,,,,
15/10/2014,107.115,,,,,,,,
16/10/2014,105.691,,,,,,,,
17/10/2014,106.045,,,,,,,,
18/10/2014,106.649,,,,,,,,
19/10/2014,106.885,,,,,,,,
20/10/2014,106.885,,,,,,,,
21/10/2014,106.875,,,,,,,,
22/10/2014,106.656,,,,,,,,
23/10/2014,107.259,,,,,,,,
24/10/2014,108.27,,,,,,,,
25/10/2014,108.06,,,,,,,,
26/10/2014,108.175,,,,,,,,
27/10/2014,108.175,,,,,,,,
28/10/2014,107.625,,,,,,,,
29/10/2014,108.083,,,,,,,,
30/10/2014,108.135,,,,,,,,
31/10/2014,108.981,,,,,,,,
1/11/14,112.034,,,,,,,,
2/11/14,112.331,,,,,,,,
3/11/14,112.331,,,,,,,,
4/11/14,113.915,,,,,,,,
5/11/14,113.44,,,,,,,,
6/11/14,114.627,,,,,,,,
7/11/14,114.86,,,,,,,,
8/11/14,114.715,,,,,,,,
9/11/14,114.545,,,,,,,,
10/11/14,114.545,,,,,,,,
11/11/14,114.782,,,,,,,,
12/11/14,115.556,,,,,,,,
13/11/2014,115.334,,,,,,,,
14/11/2014,115.6225,,,,,,,,
15/11/2014,116.546,,,,,,,,
16/11/2014,116.295,,,,,,,,
17/11/2014,116.295,,,,,,,,
18/11/2014,116.409,,,,,,,,
19/11/2014,116.732,,,,,,,,
20/11/2014,117.7215,,,,,,,,
21/11/2014,118.2,,,,,,,,
22/11/2014,117.6845,,,,,,,,
23/11/2014,117.835,,,,,,,,
24/11/2014,117.835,,,,,,,,
25/11/2014,118.3935,,,,,,,,
26/11/2014,117.966,,,,,,,,
27/11/2014,117.618,,,,,,,,
28/11/2014,117.7955,,,,,,,,
29/11/2014,118.695,,,,,,,,
30/11/2014,118.645,,,,,,,,
1/12/14,118.645,,,,,,,,
2/12/14,118.234,,,,,,,,
3/12/14,119.169,,,,,,,,
4/12/14,119.757,,,,,,,,
5/12/14,119.574,,,,,,,,
6/12/14,121.354,,,,,,,,
7/12/14,121.425,,,,,,,,
8/12/14,121.425,,,,,,,,
9/12/14,120.8945,,,,,,,,
10/12/14,119.0445,,,,,,,,
11/12/14,118.593,,,,,,,,
12/12/14,119.324,,,,,,,,
13/12/2014,118.466,,,,,,,,
14/12/2014,118.805,,,,,,,,
15/12/2014,118.805,,,,,,,,
16/12/2014,117.891,,,,,,,,
17/12/2014,117.405,,,,,,,,
18/12/2014,117.602,,,,,,,,
19/12/2014,118.7825,,,,,,,,
20/12/2014,119.585,,,,,,,,
21/12/2014,119.515,,,,,,,,
22/12/2014,119.515,,,,,,,,
23/12/2014,119.8455,,,,,,,,
24/12/2014,120.698,,,,,,,,
25/12/2014,120.451,,,,,,,,
26/12/2014,120.481,,,,,,,,
27/12/2014,120.425,,,,,,,,
28/12/2014,120.505,,,,,,,,
29/12/2014,120.505,,,,,,,,
30/12/2014,120.599,,,,,,,,
31/12/2014,119.394,,,,,,,,
4/1/15,120.505,,,,,,,,
5/1/15,120.505,,,,,,,,
6/1/15,119.6915,,,,,,,,
7/1/15,118.348,,,,,,,,
8/1/15,119.446,,,,,,,,
9/1/15,119.56,,,,,,,,
10/1/15,118.6275,,,,,,,,
11/1/15,118.5445,,,,,,,,
12/1/15,118.5445,,,,,,,,
13/01/2015,118.323,,,,,,,,
14/01/2015,118.266,,,,,,,,
15/01/2015,116.7855,,,,,,,,
16/01/2015,116.968,,,,,,,,
17/01/2015,117.404,,,,,,,,
18/01/2015,117.635,,,,,,,,
19/01/2015,117.635,,,,,,,,
20/01/2015,117.509,,,,,,,,
21/01/2015,118.415,,,,,,,,
22/01/2015,117.882,,,,,,,,
23/01/2015,117.9045,,,,,,,,
24/01/2015,117.78,,,,,,,,
25/01/2015,117.795,,,,,,,,
26/01/2015,117.795,,,,,,,,
27/01/2015,118.4205,,,,,,,,
28/01/2015,117.706,,,,,,,,
29/01/2015,117.7635,,,,,,,,
30/01/2015,118.3325,,,,,,,,
31/01/2015,117.389,,,,,,,,
1/2/15,117.465,,,,,,,,
2/2/15,117.465,,,,,,,,
3/2/15,117.429,,,,,,,,
4/2/15,117.4975,,,,,,,,
5/2/15,117.559,,,,,,,,
6/2/15,117.426,,,,,,,,
7/2/15,119.09,,,,,,,,
8/2/15,119.1395,,,,,,,,
9/2/15,119.1395,,,,,,,,
10/2/15,118.714,,,,,,,,
11/2/15,119.33,,,,,,,,
12/2/15,120.375,,,,,,,,
13/02/2015,118.6245,,,,,,,,
14/02/2015,118.722,,,,,,,,
15/02/2015,118.755,,,,,,,,
16/02/2015,118.755,,,,,,,,
17/02/2015,118.449,,,,,,,,
18/02/2015,119.0155,,,,,,,,
19/02/2015,119.187,,,,,,,,
20/02/2015,118.852,,,,,,,,
21/02/2015,118.685,,,,,,,,
22/02/2015,119.025,,,,,,,,
23/02/2015,119.025,,,,,,,,
24/02/2015,118.886,,,,,,,,
25/02/2015,119.082,,,,,,,,
26/02/2015,118.889,,,,,,,,
27/02/2015,119.33,,,,,,,,
28/02/2015,119.706,,,,,,,,
1/3/15,119.575,,,,,,,,
2/3/15,119.575,,,,,,,,
3/3/15,120.102,,,,,,,,
4/3/15,119.4585,,,,,,,,
5/3/15,119.739,,,,,,,,
6/3/15,120.2245,,,,,,,,
7/3/15,120.861,,,,,,,,
8/3/15,120.8225,,,,,,,,
9/3/15,120.8225,,,,,,,,
10/3/15,121.2,,,,,,,,
11/3/15,121.237,,,,,,,,
12/3/15,121.448,,,,,,,,
13/03/2015,121.329,,,,,,,,
14/03/2015,121.245,,,,,,,,
15/03/2015,121.395,,,,,,,,
16/03/2015,121.395,,,,,,,,
17/03/2015,121.3045,,,,,,,,
18/03/2015,121.334,,,,,,,,
19/03/2015,120.8675,,,,,,,,
20/03/2015,120.8955,,,,,,,,
21/03/2015,120.125,,,,,,,,
22/03/2015,120.035,,,,,,,,
23/03/2015,120.035,,,,,,,,
24/03/2015,119.767,,,,,,,,
25/03/2015,119.75,,,,,,,,
26/03/2015,119.464,,,,,,,,
27/03/2015,119.0075,,,,,,,,
28/03/2015,119.215,,,,,,,,
29/03/2015,119.145,,,,,,,,
30/03/2015,119.145,,,,,,,,
31/03/2015,120.0565,,,,,,,,
1/4/15,119.917,,,,,,,,
2/4/15,119.505,,,,,,,,
3/4/15,119.717,,,,,,,,
4/4/15,119.019,,,,,,,,
5/4/15,119.715,,,,,,,,
6/4/15,119.715,,,,,,,,
7/4/15,119.236,,,,,,,,
8/4/15,120.3355,,,,,,,,
9/4/15,119.903,,,,,,,,
10/4/15,120.556,,,,,,,,
11/4/15,120.168,,,,,,,,
12/4/15,120.215,,,,,,,,
13/04/2015,120.215,,,,,,,,
14/04/2015,120.091,,,,,,,,
15/04/2015,119.329,,,,,,,,
16/04/2015,118.913,,,,,,,,
17/04/2015,118.9835,,,,,,,,
18/04/2015,118.901,,,,,,,,
19/04/2015,118.915,,,,,,,,
20/04/2015,118.915,,,,,,,,
21/04/2015,119.42,,,,,,,,
22/04/2015,119.628,,,,,,,,
23/04/2015,119.858,,,,,,,,
24/04/2015,119.561,,,,,,,,
25/04/2015,118.954,,,,,,,,
26/04/2015,118.975,,,,,,,,
27/04/2015,118.975,,,,,,,,
28/04/2015,119.027,,,,,,,,
29/04/2015,118.9205,,,,,,,,
30/04/2015,118.6635,,,,,,,,
1/5/15,119.608,,,,,,,,
