Date,Rate
11/9/11,17.95
12/9/11,17.967
13/09/2011,18.0895
14/09/2011,17.88
15/09/2011,17.8388
16/09/2011,17.6667
17/09/2011,17.72
18/09/2011,17.716
19/09/2011,17.716
20/09/2011,18.0592
21/09/2011,18.133
22/09/2011,18.0147
23/09/2011,18.466
24/09/2011,18.303
25/09/2011,18.301
26/09/2011,18.301
27/09/2011,18.3127
28/09/2011,17.938
29/09/2011,18.102
30/09/2011,18.147
1/10/11,18.358
2/10/11,18.432
3/10/11,18.432
4/10/11,18.72
5/10/11,18.732
6/10/11,18.611
7/10/11,18.522
8/10/11,18.56
9/10/11,18.595
10/10/11,18.351
11/10/11,18.06
12/10/11,18.1847
13/10/2011,17.857
14/10/2011,18.0023
15/10/2011,17.8382
16/10/2011,17.854
17/10/2011,17.854
18/10/2011,18.013
19/10/2011,18.151
20/10/2011,18.0378
21/10/2011,18.168
22/10/2011,18.019
23/10/2011,17.994
24/10/2011,17.994
25/10/2011,17.885
26/10/2011,17.902
27/10/2011,18.1118
28/10/2011,17.376
29/10/2011,17.427
30/10/2011,17.432
31/10/2011,17.428
1/11/11,17.8326
2/11/11,18.363
3/11/11,18.304
4/11/11,18.124
5/11/11,18.1629
6/11/11,18.163
7/11/11,18.1037
8/11/11,18.2503
9/11/11,18.309
10/11/11,18.704
11/11/11,18.852
12/11/11,18.611
13/11/2011,18.599
14/11/2011,18.602
15/11/2011,18.8525
16/11/2011,19.043
17/11/2011,19.01
18/11/2011,18.8389
19/11/2011,18.828
20/11/2011,18.823
21/11/2011,18.8468
22/11/2011,18.9689
23/11/2011,18.9023
24/11/2011,19.2318
25/11/2011,19.299
26/11/2011,19.688
27/11/2011,19.694
28/11/2011,19.694
29/11/2011,19.281
30/11/2011,19.1541
1/12/11,18.8398
2/12/11,18.87
3/12/11,18.893
4/12/11,18.7554
5/12/11,18.893
6/12/11,18.6512
7/12/11,18.871
8/12/11,18.85
9/12/11,19.1231
10/12/11,19.02
11/12/11,19.027
12/12/11,19.027
13/12/2011,19.4443
14/12/2011,19.6
15/12/2011,19.7519
16/12/2011,19.554
17/12/2011,19.436
18/12/2011,19.437
19/12/2011,19.437
20/12/2011,19.495
21/12/2011,19.541
22/12/2011,19.589
23/12/2011,19.71
24/12/2011,19.789
25/12/2011,19.789
26/12/2011,19.789
27/12/2011,19.765
28/12/2011,19.73
29/12/2011,19.969
30/12/2011,19.917
31/12/2011,19.622
1/1/12,19.757
2/1/12,19.757
3/1/12,19.752
4/1/12,19.695
5/1/12,20.01
6/1/12,20.201
7/1/12,20.352
8/1/12,20.347
9/1/12,20.347
10/1/12,20.2
11/1/12,20.163
12/1/12,20.379
13/01/2012,19.967
14/01/2012,20.1572
15/01/2012,20.158
16/01/2012,20.158
17/01/2012,20.228
18/01/2012,20.112
19/01/2012,19.9087
20/01/2012,19.61
21/01/2012,19.666
22/01/2012,19.653
23/01/2012,19.653
24/01/2012,19.4359
25/01/2012,19.4814
26/01/2012,19.5375
27/01/2012,19.1316
28/01/2012,19.06
29/01/2012,19.038
30/01/2012,19.038
31/01/2012,19.27
1/2/12,19.4066
2/2/12,19.0649
3/2/12,19.0453
4/2/12,19.059
5/2/12,18.9619
6/2/12,18.96
7/2/12,19.039
8/2/12,18.807
9/2/12,18.688
10/2/12,18.864
11/2/12,19.0964
12/2/12,19.129
13/02/2012,19.11
14/02/2012,18.9826
15/02/2012,19.071
16/02/2012,19.2475
17/02/2012,19.2177
18/02/2012,19.033
19/02/2012,18.999
20/02/2012,18.999
21/02/2012,18.7655
22/02/2012,18.7568
23/02/2012,19.023
24/02/2012,18.8476
25/02/2012,18.589
26/02/2012,18.5896
27/02/2012,18.588
28/02/2012,18.5908
29/02/2012,18.516
1/3/12,18.626
2/3/12,18.5929
3/3/12,18.732
4/3/12,18.7495
5/3/12,18.7682
6/3/12,18.767
7/3/12,18.981
8/3/12,18.918
9/3/12,18.711
10/3/12,18.754
11/3/12,18.76
12/3/12,18.76
13/03/2012,18.667
14/03/2012,18.752
15/03/2012,18.91
16/03/2012,18.734
17/03/2012,18.609
18/03/2012,18.5988
19/03/2012,18.5986
20/03/2012,18.494
21/03/2012,18.466
22/03/2012,18.667
23/03/2012,18.764
24/03/2012,18.55
25/03/2012,18.5448
26/03/2012,18.5446
27/03/2012,18.465
28/03/2012,18.432
29/03/2012,18.531
30/03/2012,18.66
31/03/2012,18.627
1/4/12,18.584
2/4/12,18.584
3/4/12,18.5697
4/4/12,18.456
5/4/12,18.764
6/4/12,18.8658
7/4/12,18.88
8/4/12,18.8797
9/4/12,18.8862
10/4/12,18.8288
11/4/12,18.961
12/4/12,18.959
13/04/2012,18.749
14/04/2012,18.912
15/04/2012,18.849
16/04/2012,18.849
17/04/2012,18.85
18/04/2012,18.841
19/04/2012,18.891
20/04/2012,18.916
21/04/2012,18.861
25/04/2012,18.892
26/04/2012,18.739
27/04/2012,18.766
28/04/2012,18.746
29/04/2012,18.762
30/04/2012,18.762
1/5/12,18.869
2/5/12,18.791
3/5/12,18.968
4/5/12,19.06
5/5/12,19.223
6/5/12,19.249
7/5/12,19.251
8/5/12,19.2
9/5/12,19.38
10/5/12,19.496
11/5/12,19.4577
12/5/12,19.5634
13/05/2012,19.567
14/05/2012,19.567
15/05/2012,19.77
16/05/2012,20.114
17/05/2012,20.0133
18/05/2012,20.02
19/05/2012,19.892
20/05/2012,19.7744
21/05/2012,19.7744
22/05/2012,19.661
23/05/2012,19.857
24/05/2012,20.296
25/05/2012,20.3076
26/05/2012,20.282
27/05/2012,20.3
28/05/2012,20.253
29/05/2012,20.252
30/05/2012,20.419
31/05/2012,20.777
1/6/12,20.807
2/6/12,20.851
3/6/12,20.781
4/6/12,20.734
5/6/12,20.617
6/6/12,20.595
7/6/12,20.26
8/6/12,20.11
9/6/12,20.3493
10/6/12,20.341
11/6/12,20.361
12/6/12,20.441
13/06/2012,20.556
14/06/2012,20.233
15/06/2012,20.242
16/06/2012,20.1585
17/06/2012,20.1196
18/06/2012,20.1196
19/06/2012,20.349
20/06/2012,19.98
21/06/2012,20.0911
22/06/2012,20.5492
23/06/2012,20.508
24/06/2012,20.5203
25/06/2012,20.5202
26/06/2012,20.701
27/06/2012,20.7299
28/06/2012,20.737
29/06/2012,20.7523
30/06/2012,20.164
1/7/12,20.147
2/7/12,20.147
3/7/12,20.302
4/7/12,20.242
5/7/12,20.362
6/7/12,20.682
7/7/12,20.92
8/7/12,20.917
9/7/12,20.917
10/7/12,20.669
11/7/12,20.706
12/7/12,20.6792
13/07/2012,20.8025
14/07/2012,20.7476
15/07/2012,20.77
16/07/2012,20.77
17/07/2012,20.65
18/07/2012,20.5833
19/07/2012,20.621
20/07/2012,20.71
21/07/2012,21.0116
22/07/2012,21.035
23/07/2012,21.035
24/07/2012,21.1
25/07/2012,21.2118
26/07/2012,20.9947
27/07/2012,20.654
28/07/2012,20.51
29/07/2012,20.559
30/07/2012,20.534
31/07/2012,20.591
1/8/12,20.571
2/8/12,20.549
3/8/12,20.8223
4/8/12,20.37645
5/8/12,20.373
6/8/12,20.373
7/8/12,20.3001
8/8/12,20.261
9/8/12,20.319
10/8/12,20.41945
11/8/12,20.401
12/8/12,20.443
13/08/2012,20.443
14/08/2012,20.36
15/08/2012,20.315
16/08/2012,20.305
17/08/2012,20.072
18/08/2012,20.2093
19/08/2012,20.217
20/08/2012,20.2001
21/08/2012,20.161
22/08/2012,19.836
23/08/2012,20.0268
24/08/2012,19.8136
25/08/2012,19.851
26/08/2012,19.885
27/08/2012,19.8849
28/08/2012,19.854
29/08/2012,19.697
30/08/2012,19.782
31/08/2012,19.9
1/9/12,19.75695
2/9/12,19.7672
3/9/12,19.7672
4/9/12,19.7434
5/9/12,19.8108
6/9/12,19.66
7/9/12,19.455
8/9/12,19.1888
9/9/12,19.162
10/9/12,19.162
11/9/12,19.215
12/9/12,18.94
13/09/2012,18.97
14/09/2012,18.8427
15/09/2012,18.5746
16/09/2012,18.5575
17/09/2012,18.555
18/09/2012,18.725
19/09/2012,19.0616
20/09/2012,19.0722
21/09/2012,19.247
22/09/2012,19.1062
23/09/2012,19.1346
24/09/2012,19.1351
25/09/2012,19.3012
26/09/2012,19.255
27/09/2012,19.4148
28/09/2012,19.416
29/09/2012,19.541
30/09/2012,19.548
1/10/12,19.548
2/10/12,19.4306
3/10/12,19.3394
4/10/12,19.41
5/10/12,19.144
6/10/12,19.0968
7/10/12,19.0971
8/10/12,19.0968
9/10/12,19.2277
10/10/12,19.422
11/10/12,19.337
12/10/12,19.267
13/10/2012,19.301
14/10/2012,19.31
15/10/2012,19.3013
16/10/2012,19.24305
17/10/2012,19.021
18/10/2012,18.88
19/10/2012,18.9133
20/10/2012,19.0748
21/10/2012,19.0782
22/10/2012,19.0782
23/10/2012,19.0574
24/10/2012,19.21
25/10/2012,19.301
26/10/2012,19.252
27/10/2012,19.2869
28/10/2012,19.263
29/10/2012,19.2445
30/10/2012,19.413
31/10/2012,19.266
1/11/12,19.3468
2/11/12,19.4702
3/11/12,19.657
4/11/12,19.676
5/11/12,19.6763
6/11/12,19.726
7/11/12,19.737
8/11/12,19.9
9/11/12,19.95
10/11/12,19.95345
11/11/12,19.967
12/11/12,19.967
13/11/2012,19.9622
14/11/2012,20.01
15/11/2012,19.986
16/11/2012,19.9943
17/11/2012,20.0995
18/11/2012,20.0493
19/11/2012,20.0493
20/11/2012,19.802
21/11/2012,19.7925
22/11/2012,19.876
23/11/2012,19.758
24/11/2012,19.5564
25/11/2012,19.5295
26/11/2012,19.5296
27/11/2012,19.515
28/11/2012,19.5575
29/11/2012,19.5374
30/11/2012,19.45845
1/12/12,19.4179
2/12/12,19.44475
3/12/12,19.4447
4/12/12,19.343
5/12/12,19.3061
6/12/12,19.2906
7/12/12,19.41805
8/12/12,19.4735
9/12/12,19.491
10/12/12,19.491
11/12/12,19.5395
12/12/12,19.4455
13/12/2012,19.35815
14/12/2012,19.30195
15/12/2012,19.2035
