Date,Rate
11/9/11,0.62962
12/9/11,0.62962
13/09/2011,0.63297
14/09/2011,0.63223
15/09/2011,0.63376
16/09/2011,0.63263
17/09/2011,0.63292
18/09/2011,0.63359
19/09/2011,0.63337
20/09/2011,0.63788
21/09/2011,0.63617
22/09/2011,0.637775
23/09/2011,0.65116
24/09/2011,0.64717
25/09/2011,0.646225
26/09/2011,0.646225
27/09/2011,0.64447
28/09/2011,0.63786
29/09/2011,0.64189
30/09/2011,0.6403
1/10/11,0.63908
2/10/11,0.64152
3/10/11,0.641665
4/10/11,0.64625
5/10/11,0.6492
6/10/11,0.64834
7/10/11,0.64988
8/10/11,0.64268
9/10/11,0.64313
10/10/11,0.63998
11/10/11,0.637955
12/10/11,0.64152
13/10/2011,0.63459
14/10/2011,0.63557
15/10/2011,0.63299
16/10/2011,0.63261
17/10/2011,0.63209
18/10/2011,0.63369
19/10/2011,0.63695
20/10/2011,0.63275
21/10/2011,0.63327
22/10/2011,0.62767
23/10/2011,0.627135
24/10/2011,0.62678
25/10/2011,0.62557
26/10/2011,0.6247
27/10/2011,0.62873
28/10/2011,0.62123
29/10/2011,0.62015
30/10/2011,0.6198
31/10/2011,0.62002
1/11/11,0.61982
2/11/11,0.62715
3/11/11,0.62683
4/11/11,0.6251
5/11/11,0.62418
6/11/11,0.62428
7/11/11,0.623695
8/11/11,0.624185
9/11/11,0.62214
10/11/11,0.626635
11/11/11,0.62756
12/11/11,0.62178
13/11/2011,0.62195
14/11/2011,0.62195
15/11/2011,0.62925
16/11/2011,0.63255
17/11/2011,0.63405
18/11/2011,0.63303
19/11/2011,0.63363
20/11/2011,0.63365
21/11/2011,0.63335
22/11/2011,0.638695
23/11/2011,0.63906
24/11/2011,0.64428
25/11/2011,0.6451
26/11/2011,0.646335
27/11/2011,0.64661
28/11/2011,0.64661
29/11/2011,0.64379
30/11/2011,0.64036
1/12/11,0.63694
2/12/11,0.63698
3/12/11,0.64148
4/12/11,0.64102
5/12/11,0.64134
6/12/11,0.63749
7/12/11,0.64226
8/12/11,0.6376
9/12/11,0.6398
10/12/11,0.63895
11/12/11,0.63941
12/12/11,0.63843
13/12/2011,0.64128
14/12/2011,0.6439
15/12/2011,0.64728
16/12/2011,0.64564
17/12/2011,0.64446
18/12/2011,0.64322
19/12/2011,0.64322
20/12/2011,0.644125
21/12/2011,0.6381
22/12/2011,0.63796
23/12/2011,0.638345
24/12/2011,0.64041
25/12/2011,0.64047
26/12/2011,0.64134
27/12/2011,0.63947
28/12/2011,0.638365
29/12/2011,0.64598
30/12/2011,0.65041
31/12/2011,0.64338
1/1/12,0.64419
2/1/12,0.64419
3/1/12,0.64529
4/1/12,0.6389
5/1/12,0.63968
6/1/12,0.64562
7/1/12,0.64812
8/1/12,0.64811
9/1/12,0.64811
10/1/12,0.64782
11/1/12,0.64546
12/1/12,0.65283
13/01/2012,0.6523
14/01/2012,0.6538
15/01/2012,0.653615
16/01/2012,0.65285
17/01/2012,0.652605
18/01/2012,0.65138
19/01/2012,0.649
20/01/2012,0.64587
21/01/2012,0.64377
22/01/2012,0.64348
23/01/2012,0.64214
24/01/2012,0.64161
25/01/2012,0.641115
26/01/2012,0.64251
27/01/2012,0.63634
28/01/2012,0.63663
29/01/2012,0.63623
30/01/2012,0.63559
31/01/2012,0.63763
1/2/12,0.6347
2/2/12,0.63074
3/2/12,0.63199
4/2/12,0.6337
5/2/12,0.63377
6/2/12,0.63215
7/2/12,0.6323
8/2/12,0.62951
9/2/12,0.6322
10/2/12,0.63133
11/2/12,0.6347
12/2/12,0.63522
13/02/2012,0.6347
14/02/2012,0.63355
15/02/2012,0.6373
16/02/2012,0.63666
17/02/2012,0.6342
18/02/2012,0.63239
19/02/2012,0.63161
20/02/2012,0.63165
21/02/2012,0.63057
22/02/2012,0.6331
23/02/2012,0.6381
24/02/2012,0.637
25/02/2012,0.6303
26/02/2012,0.62998
28/02/2012,0.6311
29/02/2012,0.62935
1/3/12,0.627
2/3/12,0.6268
3/3/12,0.63117
4/3/12,0.63161
5/3/12,0.63157
6/3/12,0.6303
7/3/12,0.63636
8/3/12,0.635
9/3/12,0.63219
10/3/12,0.63739
11/3/12,0.63814
12/3/12,0.63814
13/03/2012,0.6397
14/03/2012,0.63555
15/03/2012,0.6375
16/03/2012,0.636245
17/03/2012,0.6316
18/03/2012,0.63117
19/03/2012,0.63117
20/03/2012,0.6292
21/03/2012,0.63038
22/03/2012,0.63099
23/03/2012,0.63245
24/03/2012,0.6302
25/03/2012,0.6301
26/03/2012,0.6302
27/03/2012,0.6273
28/03/2012,0.6263
29/03/2012,0.63045
30/03/2012,0.62826
31/03/2012,0.625175
1/4/12,0.624395
2/4/12,0.6245
3/4/12,0.6242
4/4/12,0.62625
5/4/12,0.6294
6/4/12,0.63185
7/4/12,0.62933
8/4/12,0.63181
9/4/12,0.63181
10/4/12,0.62875
11/4/12,0.63045
12/4/12,0.62865
13/04/2012,0.626155
14/04/2012,0.6308
15/04/2012,0.63107
16/04/2012,0.63107
17/04/2012,0.6291
18/04/2012,0.62734
19/04/2012,0.6242
20/04/2012,0.6229
21/04/2012,0.62037
25/04/2012,0.6197
26/04/2012,0.61935
27/04/2012,0.6175
28/04/2012,0.61445
29/04/2012,0.61586
30/04/2012,0.6148
1/5/12,0.616
2/5/12,0.6167
3/5/12,0.61745
4/5/12,0.61813
5/5/12,0.6193
6/5/12,0.61893
7/5/12,0.61899
8/5/12,0.6177
9/5/12,0.61889
10/5/12,0.6195
11/5/12,0.618795
12/5/12,0.622105
13/05/2012,0.62222
14/05/2012,0.62218
15/05/2012,0.62102
16/05/2012,0.62445
17/05/2012,0.6279
18/05/2012,0.6323
19/05/2012,0.6333
20/05/2012,0.63205
21/05/2012,0.63205
22/05/2012,0.63295
23/05/2012,0.6342
24/05/2012,0.6371
25/05/2012,0.63844
26/05/2012,0.63873
27/05/2012,0.63884
28/05/2012,0.63853
29/05/2012,0.6377
30/05/2012,0.64
31/05/2012,0.6453
1/6/12,0.64865
2/6/12,0.6511
3/6/12,0.65162
5/6/12,0.6505
6/6/12,0.65058
7/6/12,0.6458
8/6/12,0.64255
9/6/12,0.6472
10/6/12,0.646245
11/6/12,0.646265
12/6/12,0.64501
13/06/2012,0.6421
14/06/2012,0.6425
15/06/2012,0.644085
16/06/2012,0.6383
17/06/2012,0.636315
18/06/2012,0.636315
19/06/2012,0.63855
20/06/2012,0.6349
21/06/2012,0.6361
22/06/2012,0.6403
23/06/2012,0.64158
24/06/2012,0.64146
25/06/2012,0.64146
26/06/2012,0.6426
27/06/2012,0.6397
28/06/2012,0.64238
29/06/2012,0.6456
30/06/2012,0.6374
1/7/12,0.63672
2/7/12,0.63672
3/7/12,0.6374
4/7/12,0.6374
5/7/12,0.64099
6/7/12,0.64412
7/7/12,0.646
8/7/12,0.64556
9/7/12,0.64558
10/7/12,0.6443
11/7/12,0.64455
12/7/12,0.644
13/07/2012,0.64821
14/07/2012,0.6422
15/07/2012,0.642
16/07/2012,0.642
17/07/2012,0.6397
18/07/2012,0.63959
19/07/2012,0.639
20/07/2012,0.63655
21/07/2012,0.6402
22/07/2012,0.6401
23/07/2012,0.6401
24/07/2012,0.6444
25/07/2012,0.64521
26/07/2012,0.64488
27/07/2012,0.63759
28/07/2012,0.63575
29/07/2012,0.63498
30/07/2012,0.635
31/07/2012,0.637
1/8/12,0.6377
2/8/12,0.6404
3/8/12,0.64489
4/8/12,0.6396
5/8/12,0.6392
6/8/12,0.63925
7/8/12,0.64065
