Date,Rate
11/9/11,30.0525
13/09/2011,30.3525
14/09/2011,30.1925
15/09/2011,30.4767
16/09/2011,30.415
17/09/2011,30.545
18/09/2011,30.55
19/09/2011,30.55
20/09/2011,31.315
21/09/2011,31.3738
22/09/2011,31.3894
23/09/2011,32.1472
24/09/2011,32.06
25/09/2011,32.1
26/09/2011,32.1
27/09/2011,32.4608
28/09/2011,31.6925
29/09/2011,31.76
30/09/2011,31.99375
1/10/11,32.1825
2/10/11,32.1857
3/10/11,32.1857
4/10/11,32.5348
5/10/11,32.6975
6/10/11,32.41
7/10/11,32.3438
8/10/11,32.1176
9/10/11,32.13
10/10/11,32.012
11/10/11,31.5662
12/10/11,31.5225
13/10/2011,31.1425
14/10/2011,31.2258
15/10/2011,30.8663
16/10/2011,30.837
17/10/2011,30.837
18/10/2011,30.9535
19/10/2011,31.1351
20/10/2011,31.0251
21/10/2011,31.4488
22/10/2011,31.09
23/10/2011,30.995
24/10/2011,30.995
25/10/2011,30.56
26/10/2011,30.5126
27/10/2011,30.6838
28/10/2011,29.8815
29/10/2011,29.7391
30/10/2011,29.7475
1/11/11,30.2515
2/11/11,30.791
3/11/11,30.6725
4/11/11,30.54
5/11/11,30.7101
8/11/11,30.505
9/11/11,30.3075
10/11/11,30.5675
11/11/11,30.6751
12/11/11,30.18
13/11/2011,30.24
14/11/2011,30.441
15/11/2011,30.5398
16/11/2011,30.695
17/11/2011,30.7263
18/11/2011,30.8151
19/11/2011,30.8513
20/11/2011,30.942
21/11/2011,30.942
22/11/2011,31.1663
23/11/2011,31.09
24/11/2011,31.5063
25/11/2011,31.4819
26/11/2011,31.5188
27/11/2011,31.67
28/11/2011,31.644
29/11/2011,31.3702
30/11/2011,31.235
1/12/11,30.6863
2/12/11,30.73
3/12/11,30.94
4/12/11,30.975
5/12/11,31.021
6/12/11,30.8879
7/12/11,31.3701
8/12/11,31.2713
9/12/11,31.4671
10/12/11,31.4926
11/12/11,31.517
12/12/11,31.517
13/12/2011,31.6613
14/12/2011,31.6837
15/12/2011,31.8787
16/12/2011,31.8553
17/12/2011,31.9638
18/12/2011,32.01
19/12/2011,32.01
20/12/2011,32.1088
21/12/2011,31.9516
22/12/2011,31.7503
23/12/2011,31.3484
24/12/2011,31.1749
25/12/2011,31.193
26/12/2011,31.193
27/12/2011,31.17
28/12/2011,31.472
29/12/2011,31.82
30/12/2011,32.155
31/12/2011,32.15
1/1/12,32
2/1/12,32
3/1/12,32
4/1/12,31.7788
5/1/12,31.7811
6/1/12,32.0325
7/1/12,31.9528
8/1/12,32.183
9/1/12,32.183
10/1/12,31.9115
11/1/12,31.5651
12/1/12,31.7751
13/01/2012,31.5778
14/01/2012,31.8125
15/01/2012,32.013
16/01/2012,32.013
17/01/2012,31.674
18/01/2012,31.5438
19/01/2012,31.48
20/01/2012,31.3075
21/01/2012,31.3376
22/01/2012,31.251
23/01/2012,31.251
24/01/2012,30.8676
25/01/2012,30.785
26/01/2012,30.7226
27/01/2012,30.23
28/01/2012,30.155
29/01/2012,30.11
30/01/2012,30.11
31/01/2012,30.425
1/2/12,30.31
2/2/12,30.1331
3/2/12,30.1843
4/2/12,30.1925
5/2/12,30.218
6/2/12,30.218
7/2/12,30.1211
8/2/12,29.81
9/2/12,29.763
10/2/12,29.699
11/2/12,30.05
12/2/12,30.0675
13/02/2012,30.104
14/02/2012,29.8851
15/02/2012,30.0544
16/02/2012,30.003
17/02/2012,30.1141
18/02/2012,29.9585
19/02/2012,29.955
20/02/2012,30.011
21/02/2012,29.7595
22/02/2012,29.733
23/02/2012,29.6925
24/02/2012,29.6069
25/02/2012,29.1727
26/02/2012,29.17
27/02/2012,29.17
28/02/2012,29.0084
29/02/2012,28.9655
1/3/12,29.2013
2/3/12,29.186
3/3/12,29.3089
4/3/12,29.418
5/3/12,29.344
6/3/12,29.346
7/3/12,29.6243
8/3/12,29.6616
9/3/12,29.3574
10/3/12,29.427
11/3/12,29.4152
12/3/12,29.4152
13/03/2012,29.596
14/03/2012,29.426
15/03/2012,29.538
16/03/2012,29.3795
17/03/2012,29.2337
18/03/2012,29.234
19/03/2012,29.234
20/03/2012,29.147
21/03/2012,29.2495
22/03/2012,29.263
23/03/2012,29.443
24/03/2012,29.2844
25/03/2012,29.269
26/03/2012,29.276
27/03/2012,28.9735
28/03/2012,29.0475
29/03/2012,29.3892
30/03/2012,29.4945
31/03/2012,29.34
1/4/12,29.322
2/4/12,29.322
3/4/12,29.2824
4/4/12,29.1905
5/4/12,29.4675
6/4/12,29.4615
7/4/12,29.5806
8/4/12,29.464
9/4/12,29.519
10/4/12,29.639
11/4/12,29.7945
12/4/12,29.6501
13/04/2012,29.4145
14/04/2012,29.6015
15/04/2012,29.667
16/04/2012,29.655
17/04/2012,29.6063
18/04/2012,29.4685
19/04/2012,29.521
20/04/2012,29.521
21/04/2012,29.4405
25/04/2012,29.343
26/04/2012,29.3635
27/04/2012,29.3335
28/04/2012,29.3
29/04/2012,29.39
30/04/2012,29.304
1/5/12,29.3805
2/5/12,29.329
3/5/12,29.348
4/5/12,29.563
5/5/12,29.7897
6/5/12,29.67
7/5/12,29.665
8/5/12,30.001
9/5/12,30.1299
10/5/12,30.3322
11/5/12,30.1126
12/5/12,30.1612
13/05/2012,30.171
14/05/2012,30.2
15/05/2012,30.372
16/05/2012,30.64
17/05/2012,31.0134
18/05/2012,31.058
19/05/2012,31.2979
20/05/2012,31.222
21/05/2012,31.222
22/05/2012,31.1365
23/05/2012,31.1985
24/05/2012,31.7855
25/05/2012,31.7645
26/05/2012,32.06
27/05/2012,32.0637
28/05/2012,32.099
29/05/2012,32.092
30/05/2012,32.3295
31/05/2012,32.81
1/6/12,33.3852
2/6/12,33.6364
3/6/12,33.6702
4/6/12,33.62
5/6/12,33.505
6/6/12,33.0315
7/6/12,32.33
8/6/12,32.2463
9/6/12,32.5005
10/6/12,32.46
11/6/12,32.646
12/6/12,32.759
13/06/2012,32.9537
14/06/2012,32.4512
15/06/2012,32.512
16/06/2012,32.4003
17/06/2012,32.42
18/06/2012,32.42
19/06/2012,32.4048
20/06/2012,32.3325
21/06/2012,32.559
22/06/2012,33.1453
23/06/2012,33.1415
24/06/2012,33.228
25/06/2012,33.23
26/06/2012,33.2571
27/06/2012,32.861
28/06/2012,32.9736
29/06/2012,33.1605
30/06/2012,32.4165
1/7/12,32.395
2/7/12,32.395
3/7/12,32.587
4/7/12,32.1065
5/7/12,32.3199
6/7/12,32.5207
7/7/12,32.8926
8/7/12,32.945
9/7/12,32.945
10/7/12,32.9575
11/7/12,32.8964
12/7/12,32.6575
13/07/2012,32.73775
14/07/2012,32.5578
15/07/2012,32.599
16/07/2012,32.599
17/07/2012,32.5317
18/07/2012,32.3826
19/07/2012,32.24
20/07/2012,31.8509
21/07/2012,32.033
22/07/2012,32.21
23/07/2012,32.21
24/07/2012,32.6549
25/07/2012,32.9531
26/07/2012,32.7111
27/07/2012,32.3614
28/07/2012,32.0694
29/07/2012,32.03
30/07/2012,32.224
31/07/2012,32.19
1/8/12,32.242
2/8/12,32.289
3/8/12,32.6071
4/8/12,31.9788
5/8/12,31.989
6/8/12,31.989
7/8/12,31.5481
8/8/12,31.5332
9/8/12,31.5403
10/8/12,31.7921
11/8/12,31.849
12/8/12,31.825
13/08/2012,31.825
14/08/2012,31.86
15/08/2012,31.861
16/08/2012,31.855
17/08/2012,31.8391
18/08/2012,32.0439
19/08/2012,32.051
20/08/2012,32.051
21/08/2012,32.0595
22/08/2012,31.775
23/08/2012,31.8924
24/08/2012,31.7088
25/08/2012,31.794
26/08/2012,31.814
27/08/2012,31.815
28/08/2012,31.911
29/08/2012,32.001
30/08/2012,32.215
31/08/2012,32.572
1/9/12,32.3303
2/9/12,32.36
3/9/12,32.36
4/9/12,32.293
5/9/12,32.3012
6/9/12,32.283
7/9/12,31.944
8/9/12,31.66
9/9/12,31.662
10/9/12,31.64
11/9/12,31.6658
12/9/12,31.479
13/09/2012,31.475
14/09/2012,31.1557
15/09/2012,30.4851
16/09/2012,30.581
17/09/2012,30.489
18/09/2012,30.6281
19/09/2012,30.9234
20/09/2012,31.207
21/09/2012,31.219
22/09/2012,31.034
23/09/2012,31.134
24/09/2012,31.134
25/09/2012,31.173
26/09/2012,31.065
27/09/2012,31.3312
28/09/2012,30.9783
29/09/2012,31.1762
30/09/2012,31.187
1/10/12,31.191
2/10/12,31.0961
3/10/12,31.0869
4/10/12,31.2075
5/10/12,30.908
6/10/12,31.0405
7/10/12,30.984
8/10/12,30.897
9/10/12,31.1796
10/10/12,31.1605
11/10/12,31.1385
12/10/12,31.039
13/10/2012,31.103
14/10/2012,31.103
15/10/2012,31.097
16/10/2012,31.0584
17/10/2012,30.865
18/10/2012,30.756
19/10/2012,30.7365
20/10/2012,30.906
21/10/2012,30.894
22/10/2012,30.941
23/10/2012,31.1021
24/10/2012,31.421
25/10/2012,31.433
26/10/2012,31.3563
27/10/2012,31.396
28/10/2012,31.406
29/10/2012,31.391
30/10/2012,31.5101
31/10/2012,31.3692
1/11/12,31.3644
2/11/12,31.2907
3/11/12,31.47
4/11/12,31.477
5/11/12,31.48
6/11/12,31.6103
7/11/12,31.4405
8/11/12,31.537
9/11/12,31.5275
10/11/12,31.5669
11/11/12,31.584
