Timestamp,Date,Avg Rate (%/day),Total Amount Active Swaps (USD)
1464564851,5/30/16 1:34,0.15474,34753808.48
1464561230,5/30/16 0:33,0.15993,34813647.6
1464557645,5/29/16 23:34,0.161,35265888.6
1464554040,5/29/16 22:34,0.1624,35344535.4
1464550447,5/29/16 21:34,0.16806,35106934.55
1464546830,5/29/16 20:33,0.16123,34664311.22
1464543228,5/29/16 19:33,0.16291,34698268.19
1464539606,5/29/16 18:33,0.16301,34644563.97
1464536013,5/29/16 17:33,0.17465,35568171.71
1464532420,5/29/16 16:33,0.17475,35980282.96
1464528826,5/29/16 15:33,0.17139,36167947.64
1464525225,5/29/16 14:33,0.1723,36187222.25
1464521626,5/29/16 13:33,0.16963,36167367.67
1464518027,5/29/16 12:33,0.16109,35783619.34
1464514427,5/29/16 11:33,0.16151,35920019.86
1464510836,5/29/16 10:33,0.16192,35978073.79
1464507234,5/29/16 9:33,0.15857,36026783.41
1464503636,5/29/16 8:33,0.15052,35901229.69
1464500028,5/29/16 7:33,0.14331,35840305.56
1464496423,5/29/16 6:33,0.1351,35808239.05
1464492820,5/29/16 5:33,0.12538,35665303.47
1464489222,5/29/16 4:33,0.12216,35679488.05
1464485620,5/29/16 3:33,0.11215,35784976.03
1464482011,5/29/16 2:33,0.10332,35886832.94
1464478416,5/29/16 1:33,0.09673,35291713.91
1464474817,5/29/16 0:33,0.09619,35420333.6
1464471212,5/28/16 23:33,0.08428,35114904.34
1464467617,5/28/16 22:33,0.0613,34603331.29
1464464022,5/28/16 21:33,0.06113,34377899.25
1464460412,5/28/16 20:33,0.06096,34280415.39
1464456825,5/28/16 19:33,0.06337,34521550.66
1464453209,5/28/16 18:33,0.06347,34300556
1464449595,5/28/16 17:33,0.06271,34704536.42
1464446017,5/28/16 16:33,0.06171,34786938.6
1464442414,5/28/16 15:33,0.06153,34872835.42
1464438800,5/28/16 14:33,0.0626,34955385.91
1464435196,5/28/16 13:33,0.06192,34592578.13
1464431595,5/28/16 12:33,0.06183,34609164.44
1464427993,5/28/16 11:33,0.06197,34466221.27
1464424418,5/28/16 10:33,0.06291,34373066.08
1464420810,5/28/16 9:33,0.06299,34297533.81
1464417202,5/28/16 8:33,0.053,33852093.3
1464413595,5/28/16 7:33,0.04725,33758150.23
1464409988,5/28/16 6:33,0.04713,33852195.81
1464406415,5/28/16 5:33,0.04608,33512671.87
1464402808,5/28/16 4:33,0.04567,33274583.61
1464399196,5/28/16 3:33,0.04551,33076550.21
1464395610,5/28/16 2:33,0.04551,32984800.15
1464392007,5/28/16 1:33,0.04537,32965001.83
1464388383,5/28/16 0:33,0.04521,32844827.98
1464384817,5/27/16 23:33,0.04511,32724395.02
1464381200,5/27/16 22:33,0.04501,32667977.4
1464377591,5/27/16 21:33,0.04495,32695828.82
1464373910,5/27/16 20:31,0.04477,32652184.04
1464370306,5/27/16 19:31,0.04458,32716194.08
1464366705,5/27/16 18:31,0.04458,32511962.15
1464363128,5/27/16 17:32,0.04492,33065595.65
1464359514,5/27/16 16:31,0.04232,33233836.32
1464355935,5/27/16 15:32,0.04113,32885348.47
1464352298,5/27/16 14:31,0.04075,31993139.22
1464348696,5/27/16 13:31,0.0407,31829949.99
1464345095,5/27/16 12:31,0.0407,31544195.87
1464341503,5/27/16 11:31,0.04068,31388656.59
1464337896,5/27/16 10:31,0.04068,31026606.59
1464334304,5/27/16 9:31,0.04066,31045479
1464330714,5/27/16 8:31,0.04063,30940844.51
1464327104,5/27/16 7:31,0.04064,30925701.45
1464323483,5/27/16 6:31,0.04063,30552850.82
1464319901,5/27/16 5:31,0.04072,30469021.04
1464316280,5/27/16 4:31,0.0408,30056623.23
1464312687,5/27/16 3:31,0.04086,29606838.19
1464309103,5/27/16 2:31,0.04094,29047106.12
1464305484,5/27/16 1:31,0.04092,29059735.46
1464301888,5/27/16 0:31,0.04091,28999073.92
1464298278,5/26/16 23:31,0.04088,29001341.1
1464294692,5/26/16 22:31,0.04082,28982422.38
1464291116,5/26/16 21:31,0.0408,29004107.76
1464287507,5/26/16 20:31,0.04076,29094371.49
1464283900,5/26/16 19:31,0.04074,29129450.01
1464280328,5/26/16 18:32,0.04068,29271206.53
1464276719,5/26/16 17:31,0.04053,29175347.58
1464273114,5/26/16 16:31,0.0404,29007167.89
1464269512,5/26/16 15:31,0.0403,28996375.83
1464265909,5/26/16 14:31,0.04033,28950758.2
1464262301,5/26/16 13:31,0.04027,28957170.77
1464258697,5/26/16 12:31,0.04026,28816291.29
1464255095,5/26/16 11:31,0.0402,28869697.47
1464251505,5/26/16 10:31,0.04019,28828245.92
1464247915,5/26/16 9:31,0.04016,28781685.56
1464244319,5/26/16 8:31,0.04013,28720062.03
1464240694,5/26/16 7:31,0.04012,28710940.6
1464237103,5/26/16 6:31,0.04012,28715951.98
1464233502,5/26/16 5:31,0.04011,28719980.95
1464229913,5/26/16 4:31,0.0401,28785980.2
1464226316,5/26/16 3:31,0.0401,28787669.77
1464222719,5/26/16 2:31,0.04005,28694579.11
1464219119,5/26/16 1:31,0.04013,28841187.57
1464215519,5/26/16 0:31,0.04011,28917588.85
1464211917,5/25/16 23:31,0.04007,29040488.22
1464208312,5/25/16 22:31,0.04007,29084970.69
1464204713,5/25/16 21:31,0.04005,29112303.85
1464201109,5/25/16 20:31,0.04001,29183942.14
1464197512,5/25/16 19:31,0.04003,29170858.51
1464193912,5/25/16 18:31,0.04007,29179916.87
1464190310,5/25/16 17:31,0.04007,28883579.83
1464186698,5/25/16 16:31,0.0401,29172177.2
1464183101,5/25/16 15:31,0.04014,29220331.64
1464179487,5/25/16 14:31,0.04016,29284236.27
1464175893,5/25/16 13:31,0.04021,29203627.53
1464172303,5/25/16 12:31,0.04021,29241297.3
1464168711,5/25/16 11:31,0.04024,29202305.09
1464165105,5/25/16 10:31,0.04026,29209562.09
1464161486,5/25/16 9:31,0.04029,29151683.37
1464157899,5/25/16 8:31,0.04034,29190586.89
1464154311,5/25/16 7:31,0.04036,29163902.8
1464150692,5/25/16 6:31,0.04042,29115632.09
1464147101,5/25/16 5:31,0.04046,29109632.28
1464143509,5/25/16 4:31,0.04047,29253261.8
1464139921,5/25/16 3:32,0.04049,29274819.11
1464136291,5/25/16 2:31,0.04052,29253693.68
1464132694,5/25/16 1:31,0.04058,29371591.61
1464129105,5/25/16 0:31,0.04062,29320413.04
1464125501,5/24/16 23:31,0.04073,29298448.2
1464121939,5/24/16 22:32,0.0408,29303287.36
1464118334,5/24/16 21:32,0.04081,29380742.1
1464114746,5/24/16 20:32,0.04094,29576061.67
1464111135,5/24/16 19:32,0.04108,29527144.21
1464107540,5/24/16 18:32,0.0412,29312685.89
1464103920,5/24/16 17:32,0.04151,29238636.2
1464100328,5/24/16 16:32,0.04184,29245769.26
1464096741,5/24/16 15:32,0.04201,29243291.53
1464093124,5/24/16 14:32,0.04212,29269003.81
1464089534,5/24/16 13:32,0.04221,29732619.36
1464085942,5/24/16 12:32,0.04226,29814218.11
1464082324,5/24/16 11:32,0.04231,29826510.29
1464078731,5/24/16 10:32,0.04238,29825614.49
1464075125,5/24/16 9:32,0.04244,29830160.85
1464071540,5/24/16 8:32,0.0425,29811405.03
1464067933,5/24/16 7:32,0.04257,29813896.55
1464064326,5/24/16 6:32,0.04258,29853331.29
1464060712,5/24/16 5:31,0.04265,29862745.89
1464057140,5/24/16 4:32,0.04268,29808908.92
1464053531,5/24/16 3:32,0.04272,29739271.25
1464049945,5/24/16 2:32,0.0428,29765437.81
1464046330,5/24/16 1:32,0.04292,29834673.05
1464042715,5/24/16 0:31,0.04297,29856539.22
1464039101,5/23/16 23:31,0.04306,29914272.23
1464035500,5/23/16 22:31,0.04317,29956965.85
1464031903,5/23/16 21:31,0.04327,30048999.5
1464028296,5/23/16 20:31,0.04345,29897446.35
