@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
77.268,0.73644,5.97
76.86,0.72835,5.53
76.66,0.72631,5.13
76.672,0.72046,4.85
76.88,0.72522,4.87
76.5,0.73294,5.66
76.427,0.73123,5.66
76.31,0.72564,5.72
76.433,0.74332,5.72
76.476,0.74124,5.68
76.44,0.74339,4.92
76.633,0.73335,4.82
76.449,0.73733,4.82
76.674,0.73681,1.7e+308
77.07,0.74325,1.7e+308
77.14,0.74672,1.7e+308
77.07,0.74705,4.87
76.71,0.75375,4.98
76.836,0.75243,4.92
76.83,0.75104,4.8
76.67,0.74641,4.61
76.786,0.7468,3.99
76.72,0.74697,3.89
76.689,0.73177,4.1
76.71,0.73323,3.93
77.359,0.72422,3.97
76.864,0.72791,4.05
77.33,0.72193,1.7e+308
76.78,0.72587,1.7e+308
76.83,0.72791,1.7e+308
76.78,0.72495,2.24
76.84,0.72595,2.27
76.21,0.72124,1.7e+308
76.11,0.7185,2.72
75.94,0.71812,2.69
76.04,0.72297,1.7e+308
75.82,0.70438,4.2
75.746,0.70633,3.95
75.8,0.70684,3.5
75.8,0.70607,3.3
77.971,0.71782,3.33
78.33,0.73066,1.7e+308
78.091,0.7275,1.7e+308
77.97,0.72586,3.55
78.26,0.72747,3
78.26,0.72738,2.95
78.239,0.72516,1.7e+308
78.068,0.72738,3.08
77.778,0.72534,3.3
77.77,0.73521,3.3
77.6,0.73503,3.3
77.14,0.72549,3.35
77.02,0.73443,2.5
77.014,0.73975,3
77.03,0.74036,2.99
76.98,0.73951,2.5
76.944,0.74008,2.43
76.91,-1,2.25
76.96,0.73943,2.59
77.07,0.74119,1.7e+308
77.413,0.74893,3
77.11,0.74986,2.75
77.669,0.75464,2.77
77.75,0.75512,2.66
78.089,0.75,2.72
77.85,0.74959,3.19
77.55,0.74351,3.42
77.589,0.74167,3.04
77.9,0.74736,2.93
77.987,0.74601,1.7e+308
78,0.74711,2.93
77.78,0.74281,2.98
77.75,0.74725,3.3
77.71,0.74691,3.3
77.676,0.75051,1.7e+308
77.603,0.74793,3.2
77.54,0.74811,3.27
77.54,0.74708,3.48
77.844,0.75726,3.56
77.9,0.7638,3.47
78.081,0.77058,3.45
77.889,0.76854,3.44
77.66,0.76714,1.7e+308
77.76,0.7664,3.5
77.76,0.7664,3.85
77.97,0.76799,4.55
77.8,0.765,4.38
78.02,0.76705,4.17
78.14,0.7667,4.22
78.14,0.76682,4.33
77.94,0.76488,4.29
77.83,0.76497,4.3
77.964,0.77329,4.5
77.734,0.77407,4.21
76.97,0.77003,4.58
76.97,0.77167,5
76.97,0.77167,5
76.91,0.77378,5.29
76.667,0.76582,5.57
76.71,0.77316,6.65
77.15,0.78163,6
77.062,0.78593,6.8
77.07,0.78598,7
76.86,0.78456,7.14
76.867,0.78218,7
76.912,0.78841,6.51
76.741,0.7801,6.6
76.9,0.78875,6.3
76.91,0.78858,7.15
76.91,0.78871,7.1
76.782,0.78967,6
76.798,0.78493,7.1
76.818,0.78018,6.22
77.31,0.77366,6.95
76.996,0.773,6.77
76.95,0.77238,6.52
76.921,0.76712,6.55
77.77,0.76913,6.31
78.17,0.77116,5.5
77.459,0.76008,5.88
76.699,0.75902,4.91
76.68,0.7581,5.5
76.68,0.75643,5.58
76.344,0.76342,5.3
76.34,0.7651,5.88
76.136,0.7574,6.28
76.16,0.75955,6.3
76.54,0.76238,5.94
76.61,0.76289,5.6
76.6,0.7628,5.69
76.887,0.7551,5.87
76.93,0.755,5.89
77.47,0.75255,5.88
77.58,0.758,5.5
77.63,0.75781,5.79
77.52,0.756659,4.89
78.412,0.7602,4.69
78.22,0.7643,4.51
78.83,0.7665,4.67
79.36,0.7603,4.23
79.55,0.76052,4.38
79.53,0.7607,4.44
79.507,0.75426,4.58
79.739,0.7542,4.51
80.294,0.755119,5.22
80.203,0.7513,4.95
80.898,0.74274,5
81.21,0.74344,4.98
80.428,0.745496,4.88
80.45,0.74316,4.99
81.17,0.74814,5
81.18,0.750151,4.79
81.583,0.758029,4.65
81.79,0.75746,4.81
81.81,0.75741,5.06
81.428,0.75555,4.98
80.731,0.762399,4.93
81.06,0.760399,5.01
81.512,0.75402,4.93
82.528,0.762742,4.94
